"id","user_id","tanggal","permintaan","ketersediaan","harga","berita","created_at","updated_at"
"1","2","8/1/2021","5082","2621","26500","Naik","2022-07-13","2022-07-13"
"2","2","8/2/2021","1804","8280","27150","Turun","2022-07-13","2022-07-13"
"3","2","8/3/2021","8464","4266","27150","Turun","2022-07-13","2022-07-13"
"4","2","8/4/2021","5827","5112","27650","Tetap","2022-07-13","2022-07-13"
"5","2","8/5/2021","5870","5499","26400","Naik","2022-07-13","2022-07-13"
"6","2","8/6/2021","3082","1083","25650","Tetap","2022-07-13","2022-07-13"
"7","2","8/7/2021","1745","3251","26000","Tetap","2022-07-13","2022-07-13"
"8","2","8/8/2021","6127","6962","24000","Naik","2022-07-13","2022-07-13"
"9","2","8/9/2021","5683","3336","22500","Turun","2022-07-13","2022-07-13"
"10","2","8/10/2021","4125","7828","22650","Naik","2022-07-13","2022-07-13"
"11","2","8/11/2021","8220","2102","22400","Turun","2022-07-13","2022-07-13"
"12","2","8/12/2021","1043","3741","22150","Turun","2022-07-13","2022-07-13"
"13","2","8/13/2021","7206","8300","19150","Tetap","2022-07-13","2022-07-13"
"14","2","8/14/2021","4736","8743","19500","Naik","2022-07-13","2022-07-13"
"15","2","8/15/2021","5663","4307","19300","Tetap","2022-07-13","2022-07-13"
"16","2","8/16/2021","9147","2130","19000","Tetap","2022-07-13","2022-07-13"
"17","2","8/17/2021","2553","5907","18500","Naik","2022-07-13","2022-07-13"
"18","2","8/18/2021","5220","3226","18250","Turun","2022-07-13","2022-07-13"
"19","2","8/19/2021","8769","8812","17250","Naik","2022-07-13","2022-07-13"
"20","2","8/20/2021","6671","7744","17500","Turun","2022-07-13","2022-07-13"
"21","2","8/21/2021","4614","2337","18000","Turun","2022-07-13","2022-07-13"
"22","2","8/22/2021","7759","5568","17500","Tetap","2022-07-13","2022-07-13"
"23","2","8/23/2021","7545","7293","17000","Naik","2022-07-13","2022-07-13"
"24","2","8/24/2021","8826","9428","17500","Tetap","2022-07-13","2022-07-13"
"25","2","8/25/2021","9215","9366","17000","Tetap","2022-07-13","2022-07-13"
"26","2","8/26/2021","2562","9934","17500","Naik","2022-07-13","2022-07-13"
"27","2","8/27/2021","7461","5453","17500","Turun","2022-07-13","2022-07-13"
"28","2","8/28/2021","7760","6237","17800","Naik","2022-07-13","2022-07-13"
"29","2","8/29/2021","4122","1681","18000","Turun","2022-07-13","2022-07-13"
"30","2","8/30/2021","7681","9387","18000","Turun","2022-07-13","2022-07-13"
"31","2","8/31/2021","5078","5968","18000","Tetap","2022-07-13","2022-07-13"
"32","2","9/1/2021","4781","4897","17500","Naik","2022-07-13","2022-07-13"
"33","2","9/2/2021","1743","2786","17750","Tetap","2022-07-13","2022-07-13"
"34","2","9/3/2021","1122","5458","18250","Tetap","2022-07-13","2022-07-13"
"35","2","9/4/2021","7824","1834","18500","Naik","2022-07-13","2022-07-13"
"36","2","9/5/2021","9975","9370","19000","Turun","2022-07-13","2022-07-13"
"37","2","9/6/2021","2296","1516","19900","Naik","2022-07-13","2022-07-13"
"38","2","9/7/2021","4825","6178","20150","Turun","2022-07-13","2022-07-13"
"39","2","9/8/2021","7747","3364","20500","Turun","2022-07-13","2022-07-13"
"40","2","9/9/2021","6248","2870","20150","Tetap","2022-07-13","2022-07-13"
"41","2","9/10/2021","9027","1231","19900","Naik","2022-07-13","2022-07-13"
"42","2","9/11/2021","3197","9385","20300","Tetap","2022-07-13","2022-07-13"
"43","2","9/12/2021","2700","6459","20100","Tetap","2022-07-13","2022-07-13"
"44","2","9/13/2021","3479","5918","19900","Naik","2022-07-13","2022-07-13"
"45","2","9/14/2021","2113","6856","19900","Turun","2022-07-13","2022-07-13"
"46","2","9/15/2021","2824","2936","19400","Naik","2022-07-13","2022-07-13"
"47","2","9/16/2021","3300","5639","19900","Turun","2022-07-13","2022-07-13"
"48","2","9/17/2021","2733","6940","20400","Turun","2022-07-13","2022-07-13"
"49","2","9/18/2021","4914","7070","20000","Tetap","2022-07-13","2022-07-13"
"50","2","9/19/2021","4032","7625","19800","Naik","2022-07-13","2022-07-13"
"51","2","9/20/2021","6578","6697","20750","Tetap","2022-07-13","2022-07-13"
